"NumEnr"|"Référence"|"Tare"|"Commentaires"|"Date_Création"|"Date_Modification"|"Clos"|"Stockage"|"Article"
"488"|"a1083"|"54665"|""|"11/08/2006 08:42:44"|"11/08/2006 08:42:57"|"0"|"veg-3"|"733"
"489"|"O1B7"|"10173"|"Stock miroir"|"11/08/2006 08:42:47"|"28/06/2010 09:14:19"|"0"|"2B-A11"|"733"
"490"|"a1070"|"54763"|""|"11/08/2006 10:00:49"|"11/08/2006 10:00:59"|"0"|"veg-2"|"744"
"491"|"O1B8"|"10179"|"Stock miroir"|"11/08/2006 10:00:50"|"28/06/2010 09:14:21"|"0"|"2B-A11"|"744"
"492"|"a1066"|"53894"|""|"11/08/2006 10:04:02"|"11/08/2006 10:04:16"|"0"|"VEG-3"|"748"
"493"|"O1C9"|"10144"|"Stock miroir"|"11/08/2006 10:04:04"|"28/06/2010 09:14:49"|"0"|"2B-A11"|"748"
"494"|"a1100"|"54785"|""|"11/08/2006 10:29:31"|"11/08/2006 10:29:40"|"0"|"veg-4"|"750"
"495"|"O1B9"|"10194"|"Stock miroir"|"11/08/2006 10:29:32"|"28/06/2010 09:14:24"|"0"|"2B-A11"|"750"
"496"|"f325"|"0"|""|"11/08/2006 10:33:55"|"28/08/2006 12:16:32"|"0"|"veg-4"|"837"
"497"|"a1063"|"53934"|""|"11/08/2006 10:37:46"|"11/08/2006 10:37:57"|"0"|"veg-2"|"754"
"498"|"O1C1"|"10129"|"Stock miroir"|"11/08/2006 10:37:47"|"28/06/2010 09:14:26"|"0"|"2B-A11"|"754"
"499"|"a1084"|"53975"|""|"11/08/2006 10:41:09"|"11/08/2006 10:41:19"|"0"|"veg-3"|"757"
"500"|"a1116"|"54410"|""|"11/08/2006 12:02:45"|"11/08/2006 12:02:59"|"0"|"veg-5"|"768"
"501"|"O1C2"|"10182"|"Stock miroir"|"11/08/2006 12:02:48"|"28/06/2010 09:14:30"|"0"|"2B-A11"|"768"
"502"|"y120"|"36159"|""|"11/08/2006 12:11:17"|"20/08/2010 12:14:34"|"0"|"VEG-9"|"769"
"503"|"O1D1"|"10124"|"Stock miroir"|"11/08/2006 12:11:19"|"28/06/2010 09:14:56"|"0"|"2B-A11"|"769"
"504"|"2B-G19"|"0"|""|"11/08/2006 12:13:39"|"15/07/2011 11:36:21"|"0"|"2b-g19"|"771"
"505"|"2B-F19"|"0"|""|"11/08/2006 12:15:05"|"15/07/2011 11:36:34"|"0"|"2b-f19"|"772"
